City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
224,Warmbad,NA,-28.45,18.7333,66.65,41,0,4.85,clear sky
225,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.11,41,3,1.79,clear sky
226,Morogoro,TZ,-6.8167,37.6667,68.59,97,43,0.83,scattered clouds
227,Husavik,IS,66.0449,-17.3389,28.8,95,100,15.43,snow
228,Ocean Springs,US,30.4113,-88.8278,65.01,100,40,0.0,fog
229,Paamiut,GL,61.994,-49.6678,13.87,68,100,11.07,overcast clouds
230,Lawrenceburg,US,38.0373,-84.8966,28.98,89,100,5.75,light snow
231,Pacatuba,BR,-3.9842,-38.6203,80.46,95,95,3.11,overcast clouds
232,Deputatskiy,RU,69.3,139.9,-18.92,96,100,5.93,overcast clouds
233,Cherepovets,RU,59.1333,37.9,30.02,80,40,4.47,scattered clouds
234,Ixtapa,MX,20.7,-105.2,74.43,73,20,6.91,few clouds
235,Casper,US,42.8666,-106.3131,12.79,67,0,28.77,clear sky
236,Hilo,US,19.7297,-155.09,76.28,92,20,11.5,light rain
237,Victoria,HK,22.2855,114.1577,72.25,80,77,8.1,broken clouds
238,Sehwan,PK,26.4279,67.863,53.8,42,0,2.17,clear sky
239,Oussouye,SN,12.485,-16.5469,68.18,40,77,9.15,broken clouds
240,Vila Velha,BR,-20.3297,-40.2925,76.95,83,20,5.75,few clouds
241,Gogrial,SS,8.5332,28.1004,77.59,16,0,5.19,clear sky
242,Kedougou,SN,12.5579,-12.1743,76.15,18,2,1.95,clear sky
243,Bambanglipuro,ID,-7.95,110.2833,82.42,75,99,3.0,overcast clouds
244,Zima,RU,53.9202,102.0442,0.93,93,100,4.03,overcast clouds
245,Ondjiva,AO,-17.0667,15.7333,66.49,89,100,2.89,light rain
246,Pincehely,HU,46.681,18.4394,34.95,78,100,7.96,overcast clouds
247,Kingsport,US,36.5484,-82.5618,48.76,97,100,1.01,mist
248,Quelimane,MZ,-17.8786,36.8883,74.16,89,62,3.11,broken clouds
249,Touros,BR,-5.1989,-35.4608,79.81,73,100,14.88,overcast clouds
250,Kavaratti,IN,10.5669,72.642,79.72,73,100,13.58,overcast clouds
251,Chernyshevskiy,RU,63.0128,112.4714,-43.78,100,87,2.77,overcast clouds
252,Chuncheng,CN,22.1731,111.7886,70.41,64,13,4.41,few clouds
253,Lazaro Cardenas,MX,17.9583,-102.2,74.66,83,4,5.59,clear sky
254,Hambantota,LK,6.1241,81.1185,75.54,100,20,4.61,few clouds
255,Carutapera,BR,-1.195,-46.02,75.94,92,100,4.65,overcast clouds
256,Mogadishu,SO,2.0371,45.3438,75.83,81,29,14.85,scattered clouds
257,Mount Isa,AU,-20.7333,139.5,87.57,55,75,5.75,broken clouds
258,Ketchikan,US,55.3422,-131.6461,39.18,93,100,5.75,mist
259,Gao,ML,16.6362,1.637,64.85,7,100,11.16,overcast clouds
260,Gravdal,NO,68.1214,13.5031,35.1,69,99,5.26,light snow
261,La Ronge,CA,55.1001,-105.2842,-19.95,76,20,2.3,few clouds
262,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,62,0,4.47,clear sky
